Route number,Origin,Destination
2,Changi Village Bus Terminal,Kampong Bahru Bus Terminal
2B,Changi Village Bus Terminal,Bedok MRT station
3,Tampines Bus Interchange,Punggol Temporary Bus Interchange
3A,Tampines Bus Interchange,Pasir Ris Drive 12 (Blk 747A)
4,Tampines Bus Interchange,Changi North Way (loop)
5,Pasir Ris Bus Interchange,Bukit Merah Bus Interchange
5A,Mariam Way,Upper Changi MRT station / SUTD
5B,Simei MRT station,Mariam Way
6,Pasir Ris Bus Interchange,Loyang Crescent (loop)
7,Bedok Bus Interchange,Clementi Bus Interchange
7A,Bedok Bus Interchange,Orchard MRT station
7B,Clementi Bus Interchange,Dhoby Ghaut MRT station
8,Tampines Bus Interchange,Toa Payoh Bus Interchange
9,Bedok Bus Interchange,Changi Airfreight Centre (loop)
9A,Bedok Bus Interchange,Loyang Avenue (Blk 149A)
9B,Simei MRT station,Airline Road (3rd Cargo Agents)
10,Tampines Bus Interchange,Kent Ridge Bus Terminal
10E,Bedok Road,Shenton Way / Anson Road
11,Lorong 1 Geylang Bus Terminal,Rhu Cross (loop)
12,Pasir Ris Bus Interchange,Kampong Bahru Bus Terminal
12E,Pasir Ris Bus Interchange,Kampong Bahru Bus Terminal
13,Yio Chu Kang Bus Interchange,Upper East Coast Bus Terminal
13A,Ang Mo Kio Avenue 6 (Blk 307A),Bishan MRT station
14,Bedok Bus Interchange,Clementi Bus Interchange
14A,Bedok Bus Interchange,Grange Road (Somerset Youth Pk)
14E,Bedok North Avenue 3,Orchard MRT station
15,Pasir Ris Bus Interchange,Marine Parade (loop)
15A,Pasir Ris Bus Interchange,Eunos MRT station
16,Bedok Bus Interchange,Bukit Merah Bus Interchange
16M,Bedok Bus Interchange,Bukit Merah Bus Interchange
17,Pasir Ris Bus Interchange,Bedok Bus Interchange
17A,Bedok Bus Interchange,Bedok North Avenue 4 (SBST Bedok Nth Depot)
18,Tampines North Bus Interchange,Bedok North Bus Depot
19,Tampines Bus Interchange,Changi Airfreight Centre (loop)
